,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
63,Vul - Mengmeester bodemenergiesystemen,-1,"Vul/Mengmeester bodemenergiesystemen
Functieomschrijving:
Innovatieve techneut bij een professionele dienstverlener gespecialiseerd in
duurzame WKO en bodemenergiesystemen.
Als toekomstig collega werk je vanuit de werkplaats en op ons terrein en beheer je de voorraad bodemwisselaars. Deze leidingsystemen moeten gecontroleerd worden op kwaliteit, kwantiteit en op het juiste moment transport klaar zijn . Je werkt zelfstandig of in teamverband en bent een belangrijke schakel voor onze verschillende boorteams in het veld. Je bedient o.a. pompen en overige benodigdheden om de bodemwisselaars te testen en te vullen. Daarnaast houdt je voorraden van koelvloeistoffen bij en zorg je voor o.a. de juiste mengverhouding.
Je hebt verantwoordelijkheidsgevoel, kan goed zelfstandig werken en mag graag korte lijnen houden met collega’s en toeleveranciers en onze transporteurs.
Functie-eisen:
- Technische of in logistieke richting MBO opleiding.
- Je beschikt over ervaring met transportmiddelen.
- Affiniteit met diverse technieken en gebruik gereedschappen.
- Specifieke ervaring is niet vereist, gedreven instelling wel.
Verder bezit jij de volgende competenties:
- Creatief en oplossingsgericht.
- Je bent in staat om zelfstandig te werken, je bent resultaatgericht, stressbestendig, flexibel en collegiaal.
- Je hebt een service georiënteerde houding met goede communicatieve vaardigheden.
Wat bieden wij:
- Een verantwoordelijke functie waarbinnen je de ruimte krijgt om je talenten optimaal te kunnen ontplooien. Beroep specifieke opleidingen worden aangeboden.
- Een goede werksfeer in een team van enthousiaste collega's.
- Goede primaire en secundaire arbeidsvoorwaarden.
- 40-urige werkweek, 32 uur is bespreekbaar.
Als u geïnteresseerd bent in deze functie richt dan uw sollicitatiebrief,
voorzien van een uitgebreide CV, binnen 14 dagen aan:
Remon Aardwarmte B.V. t.a.v. Mevr. C.Beukema
Soort dienstverband: Fulltime, Onbepaalde tijd
Werkschema:
Dagdienst",-1,Remon Aardwarmte,Marum,-1,-1,-1,-1,-1,-1,-1,-1
64,Intern,-1,"Job Title
Intern
Job Description


Working at Philips is more than a job. It’s a calling to create a healthier society through meaningful work, focused on improving 3 billion lives a year by delivering innovative solutions across the health continuum. Our people experience a variety of unexpected moments when their lives and careers come together in meaningful ways. Learn more by watching this video.

To find out more about what it’s like working for Philips at a personal level, visit the Working at Philips page on our career website, where you can read stories from our employee blog. Once there,you can also learn about our recruitment process, or find answers to some of the frequently asked questions.

Contact


If you forgot your password, you can click the Forgot Password button on the Sign In screen to reset it.

If you have any other questions regarding the recruitment process please refer to our FAQs. In case of technical difficulties with the website, please send an email to careersite@philips.com.
(Note: To ensure fairness and legal compliance in our recruitment processes, only technical issues will be monitored through the above inbox. Please do not submit resumes or applications to this email, as they will not be reviewed. Only applications received through the online application process will be considered.)",4.1,"Philips
4.1",Best,-1,10000+ Employees,1891,Company - Public,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),-1
65,"Software Development Engineer Internship 2021 (Amsterdam, The Netherlands)",-1,"DESCRIPTION

Do you want to solve business challenges through innovative technology? Do you enjoy working on cutting-edge, scalable services technology in a team environment? Do you like working on industry-defining projects that move the needle?

At Amazon, we hire the best minds in technology to innovate and build on behalf of our customers. The intense focus we have on our customers is why we are one of the worlds most beloved brands customer obsession is part of our company DNA. Our interns write real software and collaborate with a selected group of experienced software development engineers who help interns on projects that matter to our customers.

As an intern, you will be matched to a manager and a mentor. You will have the opportunity to impact the evolution of Amazon technology as well as lead mission critical projects early in your career. Your design, code, and raw smarts will contribute to solving some of the most complex technical challenges in the areas of distributed systems, data mining, automation, optimization, scalability, and security just to name a few.

In addition to working on an impactful project, you will have the opportunity to engage with Amazonians for both personal and professional development, expand your network, and participate in fun activities with other interns throughout internship. No matter the location of your internship, we give you the tools to own your project and learn in a real world setting. Many of our technologies overlapyou would be hard pressed to find a team that is not using Amazon Web Services (AWS), touching the catalogue, or iterating services to better personalize for customers.

If this sounds interesting, come chart your own path at Amazon!

Amazon internships are full-time (40 hours/week) and vary in length to fit in with your universitys program. Some are 2-3 months, others can be 6 months or even up to 12 months. Typically internships commence at the same time as University holidays over the summer months and in some locations internships start dates can vary throughout the year. Applicants should have at a minimum one quarter/semester remaining after their internship concludes.

KEY JOB RESPONSIBILITIES
* Collaborate with experienced cross-disciplinary Amazonians to conceive, design, and bring to market innovative products and services.
* Design and build innovative technologies in a large distributed computing environment and help lead fundamental changes in the industry.
* Create solutions to run predictions on distributed systems with exposure to innovative technologies at incredible scale and speed.
* Build distributed storage, index, and query systems that are scalable, fault-tolerant, low cost, and easy to manage/use.
* Ability to design and code the right solutions starting with broadly defined problems.

* Work in an agile environment to deliver high quality software.

Applications are reviewed on a rolling basis. For an update on your status, or to confirm your application was submitted successfully, please login to your candidate portal. Please note that Amazon works with a high volume of applicants. We appreciate your patience as we review applications for future Amazonians!



Basic Qualifications

BASIC QUALIFICATIONS
* Currently enrolled in a Bachelors or Masters Degree in Computer Science, Computer Engineering, or related fields at time of application
* Although no specific programming language is required you should be familiar with the syntax of languages such as Java, C/C++ or Python
* Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving and complexity analysis


Preferred Qualifications

PREFERRED QUALIFICATIONS
* Previous technical internship(s) if applicable
* Experience with distributed, multi-tiered systems, algorithms, and relational databases
* Experience in optimization mathematics such as linear programming and nonlinear optimization
* Ability to effectively articulate technical challenges and solutions
* Adept at handling ambiguous or undefined problems as well as ability to think abstractly

Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build.
Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice to know more about how we collect, use and transfer the personal data of our candidates.



EU Student Programs Team",3.9,"Amazon
3.9",Amsterdam,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
66,Servicemonteur W,-1,"Wat ga je doen?
Wij zijn per direct op zoek naar een Servicemonteur W! Ben jij dus op zoek naar een nieuwe uitdaging als Servicemonteur W? Lees dan verder voor jouw verantwoordelijkheden binnen een organisatie waar jij een veelzijdige functie bekleedt!
Uitvoeren van service-, storings- en onderhoudswerkzaamheden aan waterzijdige installaties;
Denk hierbij aan Cv-Installaties, leidingwerken en mechanische ventilatieboxen;
De werkzaamheden vinden plaats binnen de woningbouw, particuliere sector en luxe villabouw;
Jij werkt nauw samen met de Service Coördinator.
Wat heb je nodig?
Afgeronde MBO opleiding Installatietechniek (bij voorkeur niveau 4, MTS niveau);
Aantal jaren relevante werkervaring;
Aanvullende cursussen en brede kennis van toestellen en apparaten;
Minimaal een aantal jaren ervaring in soortgelijke functie;
In het bezit van een VCA diploma en rijbewijs b;
Woonachtig in de omgeving van de Drechtsteden.
Je krijgt:
Een uitstekend salaris tussen de €2.600,- en €3.300,- euro per maand;
Jij komt in aanmerking voor een auto van de zaak met telefoon en/of laptop;
Volledige reiskosten- en onkostenvergoeding;
De persoonlijke ontwikkeling van medewerkers staat centraal;
Wij bieden je diverse opleidingsmogelijkheden;
De doorgroeimogelijkheden in onze organisatie zijn oneindig;
Jij bouwt pensioen op bij een fonds;
Informele en collegiale omgang binnen het bedrijf!",5.0,"VNOM
5.0",Sliedrecht,-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
67,Business Developer SaaS start-up - Regio Rotterdam,-1,"WIJ ZIJN GOOSE VPN
En wij zijn op een missie. Een missie om Nederland veilig en onbegrensd online te laten zijn. Niet alleen voor technerds, maar juist voor de gewone gebruiker.
*
Het internet is namelijk niet zo veilig en onbegrensd meer. Hackers liggen op de loer. Bedrijven analyseren jouw gedrag en films en video’s worden afgeschermd voor bepaalde regio’s. Wij gaan dat fixen. Met onze supergemakkelijke software werken we aan een vrij en onbegrensd internet voor iedereen. En jij gaat daar bij helpen.
Wij zijn een kleine club, met grootse plannen. Ons hoofdkwartier ligt in Dordrecht. Maar we werken vanuit heel de wereld. Je kunt zelf bepalen waar je werkt, op kantoor of gedeeltelijk remote. We zijn nu met ongeveer 15 Gooseheads; developers, IT’rs, Salesvertegenwoordigers en supportmedewerkers. Maar dat gaat hard groeien. Het komend jaar gaan we veel investeren; we voegen nieuwe security-producten toe en we lanceren onze zakelijke security suite.
DIT WORDT JOUW MISSIE
Jij wordt verantwoordelijk voor de verkoop van ons zakelijke portfolio, zowel MKB als grootzakelijk. Voor het MKB zijn we al klaar om te gaan knallen. Het product is klaar en de eerste distributienetwerken zijn aangesloten. Aan jou de taak om het netwerk uit te breiden, ze te ondersteunen met de doorverkoop en nieuwe distributeurs enthousiast te maken om zich aan te sluiten. Ook zoek je proactief naar nieuwe strategische partners.
Voor onze grootzakelijk doelen staan we nog aan het begin. Jij gaat aan de basis van de uitrol staan.Je schakelt daarvoor veel met de productowner om het portfolio vorm te geven. Je wordt verantwoordelijk voor de commerciële strategie en het halen van de targets voor beide segmenten. Een mooie klus voor een commerciële topper met een aantal jaar ervaring.
DIT WORDEN JOUW TAKEN
We zijn bij GOOSE niet van de strakke omschrijvingen. Je kunt zelf een groot deel van de functie vormgeven. Maar dit zou een mooi begin zijn;
Commercieel verantwoordelijk voor de zakelijke targets voor MKB en grootzakelijk
Commercieel verantwoordelijk voor de doorontwikkeling van ons mkb portfolio naar grootzakelijk
Je bouwt actief aan een netwerk voor onze diensten
Je onderhoudt contact met onze relaties en bouwt actief aan cross -upsell mogelijkheden
Denkt mee over de verdere uitrol van onze online security suite
Schakelt rechtstreeks met de managing director over de commerciële strategie.
HIER HERKEN JE JEZELF IN
HBO werk- en denkniveau
Stevige commerciële ervaring zakelijke IT oplossingen en distributie, idealiter voor een SAAS product
Uitgebreid netwerk in de zakelijke IT wereld, bijvoorbeeld bij resellers.
Je vindt het leuk om mee te bouwen aan nieuwe IT oplossingen
Daadkrachtig, resultaatgericht en commercieel vaardig
Je hebt een uitstekende beheersing van de Nederlandse en Engelse taal
DIT BIEDEN WE JOU
Een fulltime dienstverband
Prima vast salaris met een hoge bonus multiplier.
Auto van de zaak
Een snelle MacBook en telefoon
Veel verantwoordelijkheid, met ruimte voor nieuwe initiatieven
Een platte organisatiestructuur: veel vrijheid, iedereen maakt impact
*
Secundaire arbeidsvoorwaarden:
Werk vanuit huis mogelijkheden
Flexibele werkuren
Vakantiegeld
Bonus / Winstdeling
Bedrijfsauto
Bedrijfstelefoon
Verwachte startdatum: 4-1-2021
Soort dienstverband: Fulltime, Bepaalde tijd, Onbepaalde tijd
Salaris: €4.500,00 - €5.000,00 per maand
Werkschema:
Flexibel werkrooster
Ervaring:
Business development: 6 jaar (Aanbevolen)
Opleiding:
HBO (Aanbevolen)
Thuiswerken:
Ja",-1,GOOSE VPN,Dordrecht,-1,-1,-1,-1,-1,-1,-1,-1
68,Ervaren paralegal/ juridisch medewerker,-1,"Als je van groei houdt en zelf ook wilt groeien, kom dan ons team versterken!
Je hebt een echte doenersmentaliteit en voelt je in de juridische omgeving helemaal thuis. Je bent zowel dienstverlenend als punctueel ingesteld. Zelfstandig en accuraat werken zijn twee van je sterkste punten. Dit doe je op een professionele en betrokken manier. Je kunt goed prioriteiten stellen en staat stevig in je schoenen. Je levert kwaliteit in dienstverlening en doet wat je zegt, want daar hechten we bij Merk-Echt veel waarde aan.
Kortom, een functie met veel verantwoordelijkheid waarbij het bewaken en handhaven van de intellectuele eigendommen van de klant voorop staan. Je komt op de paralegalafdeling te werken in een enthousiast en gedreven team binnen de juridische dienstverlening.
Wij zoeken een leergierige en proactieve teamplayer met:
- Oog voor detail
- Een sterk analytisch vermogen
- Een oplossingsgerichte houding
- Goede communicatieve vaardigheden
- Minimaal drie jaar werkervaring in een juridisch administratieve functie (bijv. bij een notaris- of advocatenkantoor) met een voltooide opleiding MBO of HBO rechten
- Een uitstekende beheersing van de Nederlandse taal en gedegen kennis van het Engels
Wat ga je doen?
‍Beleef hieronder een werkdag van een ervaren Paralegal bij Merk-Echt:
08.15 Ik start mijn werkdag met een kop koffie en het doorlezen van mijn e-mails.
08.30 Merkbewaking uitvoeren: alle resultaten die binnen zijn gekomen worden beoordeeld of deze merkaanvragen mogelijk conflicterend zijn met de merkregistraties van onze klanten.
11.00 Tijd om de klanten op de hoogte te brengen van de potentieel conflicterende merkaanvragen.
11.30 Ik neem de overige taken voor vandaag door: welke mutaties moeten worden opgepakt en liggen er nog reminders om te versturen vandaag?
12.00 Lunchtijd! Gezellig samen met mijn collega’s lunchen in onze ‘kantine’.
12.30 Agent in de Verenigde Staten mailen. Wat is de stand van zaken in de voorlopige weigering van de merkaanvraag die recent is verricht? Ik ben nieuwsgierig of er al iets bekend is.
‍13:00 Klant het goede nieuws berichten dat zijn merk in China is geaccepteerd door de overheidsinstantie.
13.30 De “to-do’s” uit de Paralegalinbox oppakken. Een klant geeft aan verhuisd te zijn en een andere klant wil graag advies hoe de merkrechten overgedragen kunnen worden. Ook is er een bericht ontvangen van de overheidsinstantie in Canada met een opmerking over de classificatie van een merkaanvraag. Tijd om alle verzoeken in ons klantensysteem te verwerken, alle mailtjes van klanten te beantwoorden en onze agent in Canada instructies te sturen.
‍16:00 Intern heb ik het verzoek gekregen om een merkenoverzicht voor een klant op te stellen. Ik controleer de gegevens met de merkenregisters en de Kamer van Koophandel, noteer eventuele afwijkingen en stuur alles aan mijn collega toe.
‍16.30 Ik zorg dat al mijn e-mails en werkzaamheden van vandaag correct en volledig in ons klantensysteem zijn verwerkt. Ik controleer of alles is opgepakt van mijn takenlijst van vandaag en bekijk alvast mijn takenlijst van morgen.
17.00 Alles en iedereen is geholpen. Ik sluit af en ga lekker naar huis. Morgen weer een dag!
Wat bieden we je?
‍Merk-Echt biedt jou een informele werksfeer met jonge ambitieuze collega’s. Je komt te werken in een werkomgeving waarbij het belang van de intellectuele eigendomsrechten van de klant voorop staat. Jouw collega’s hebben een commerciële drive, behalen samen successen, werken hard en vinden humor ook erg belangrijk!
En verder:
- intern opleidingstraject
- ruimte voor eigen initiatief
- flexibele werktijden
- uitstekende koffie, goede arbeidsvoorwaarden, een best salaris en een gezellig vrijdagsmiddagborrel
- werken bij het snelst groeiende merkenbureau van Nederland (dit jaar genomineerd voor de FD Gazellen Awards)
Geïnteresseerd in deze vacature?
Stuur je motivatiebrief én CV (inclusief pasfoto) t.a.v. Daphine Venselaar
‍
NB. Acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld.
Soort dienstverband: Fulltime, Parttime, Bepaalde tijd, Onbepaalde tijd
Werkschema:
ma-vr
Licentie en/of certificaat:
voltooide opleiding MBO of HBO rechten (Aanbevolen)
Taal:
Engels (Aanbevolen)
Nederlands (Vereist)",-1,Merkenbureau Merk-Echt B.V.,Breda,-1,-1,-1,-1,-1,-1,-1,-1
69,Ervaren assistent accountant,-1,"Bedrijfsprofiel
A+B Adviesgroep in Nijkerk is een compacte organisatie. Onze administratieve dienstverlening is breed. Van inrichten, verwerken en begeleiden van ( ook salaris ) administraties tot complexe fiscale aangiften, van begeleiden van starters tot overdracht of bedrijfsbeëindiging. Van budgetbegeleiding tot vermogensplanning. Ook adviezen bij echtscheiding en mediation. En nog veel meer. Onze heldere en persoonlijke aanpak spreekt veel ondernemers aan. Daardoor realiseren we een gestage groei. Alhoewel dat geen doel is, zijn we daar uiteraard wel blij mee. En trots op. Ook daarom zijn we op zoek naar een
ervaren assistent accountant
Functieomschrijving
Wij willen onze relaties op een frisse en actuele manier helpen nog beter te presteren. Je begeleidt daarvoor cliënten en hun administraties op verschillende manieren. Automatisering zie je als kans en je voelt je daar in thuis. Aangiften maak je omdat ze je helpen beter inzicht te krijgen in een bedrijf. Niet omdat een deadline nadert. Je beheerst de informatie en daardoor communiceer je er gemakkelijk over. Je krijgt in deze functie veel vrijheid en deze verantwoordelijkheid gebruik jij om nog beter te presteren. Je werkt ook op locatie en bent daardoor een directe schakel voor en met de cliënt. Korte lijnen, heldere communicatie. We verwachten dat de functie 32-40 uur per week in beslag zal nemen.
Functie-eisen
We zoeken iemand op HBO-niveau, maar je karakter en capaciteit zeggen ons meer dan je afgeronde studie. Je bent thuis in het inrichten van administraties, verbeteren van processen daaromheen en het vertalen van uitkomsten. Behoorlijke kennis van automatisering en fiscaliteit is voor het vervullen van deze functie een voorwaarde. Je houdt niet van routine, beseft dat je maatwerk levert en je neemt daarin ook je verantwoordelijkheid.
En verder
Typeren jouw 12 aanstaande collega’s onze bedrijfscultuur als professioneel, informeel, open en ambitieus. Daarnaast vinden wij het belangrijk om ook met het team te ontspannen bijvoorbeeld tijdens de vrijdagmiddagborrel in onze eigen bar. Wij houden ervan om successen met elkaar als team te vieren.
Secundaire arbeidsvoorwaarden:
Werk vanuit huis mogelijkheden
Fietsplan
Pensioen
Flexibele werkuren
Vakantiegeld
Lunchkorting
Soort dienstverband: Onbepaalde tijd
Salaris: €3.500,00 per maand",-1,A+B Adviesgroep,Nijkerk,-1,-1,-1,-1,-1,-1,-1,-1
70,Vul - Mengmeester bodemenergiesystemen,-1,"Vul/Mengmeester bodemenergiesystemen
Functieomschrijving:
Innovatieve techneut bij een professionele dienstverlener gespecialiseerd in
duurzame WKO en bodemenergiesystemen.
Als toekomstig collega werk je vanuit de werkplaats en op ons terrein en beheer je de voorraad bodemwisselaars. Deze leidingsystemen moeten gecontroleerd worden op kwaliteit, kwantiteit en op het juiste moment transport klaar zijn . Je werkt zelfstandig of in teamverband en bent een belangrijke schakel voor onze verschillende boorteams in het veld. Je bedient o.a. pompen en overige benodigdheden om de bodemwisselaars te testen en te vullen. Daarnaast houdt je voorraden van koelvloeistoffen bij en zorg je voor o.a. de juiste mengverhouding.
Je hebt verantwoordelijkheidsgevoel, kan goed zelfstandig werken en mag graag korte lijnen houden met collega’s en toeleveranciers en onze transporteurs.
Functie-eisen:
- Technische of in logistieke richting MBO opleiding.
- Je beschikt over ervaring met transportmiddelen.
- Affiniteit met diverse technieken en gebruik gereedschappen.
- Specifieke ervaring is niet vereist, gedreven instelling wel.
Verder bezit jij de volgende competenties:
- Creatief en oplossingsgericht.
- Je bent in staat om zelfstandig te werken, je bent resultaatgericht, stressbestendig, flexibel en collegiaal.
- Je hebt een service georiënteerde houding met goede communicatieve vaardigheden.
Wat bieden wij:
- Een verantwoordelijke functie waarbinnen je de ruimte krijgt om je talenten optimaal te kunnen ontplooien. Beroep specifieke opleidingen worden aangeboden.
- Een goede werksfeer in een team van enthousiaste collega's.
- Goede primaire en secundaire arbeidsvoorwaarden.
- 40-urige werkweek, 32 uur is bespreekbaar.
Als u geïnteresseerd bent in deze functie richt dan uw sollicitatiebrief,
voorzien van een uitgebreide CV, binnen 14 dagen aan:
Remon Aardwarmte B.V. t.a.v. Mevr. C.Beukema
Soort dienstverband: Fulltime, Onbepaalde tijd
Werkschema:
Dagdienst",-1,Remon Aardwarmte,Marum,-1,-1,-1,-1,-1,-1,-1,-1
71,Commissioning Engineer PAC (elektrotechnicus),-1,"Functieomschrijving
Functie Elektrotechnicus
Voor onze opdrachtgever zijn wij op zoek naar en elektrotechneut die enthousiast wordt van hoge voltages en het tegelijkertijd heerlijk vindt om buiten in de natuur te werken op diverse plekken in het land. Je bent een echte doener en houdt van afwisseling in je werkzaamheden. Door je leergierige instelling en klantgerichte manier van werken weet jij onze opdrachtgevers blij te maken met echt vakwerk. Je hebt een drive om specialist te worden binnen het vakgebied van de Midden- en Hoogspanning!
Wat zijn de werkzaamheden?
· Het controleren en parameten van beveiligingssystemen en besturingssystemen in de Midden- en Hoogspanning aanleg en stelt deze in bedrijf;
· Controleren van instellingen die aangeleverd worden door de klant of een ingenieursbureau;
· Controleren van test transformatorregelingen en gelijk-, wissel- en noodstroomsystemen en stelt deze in bedrijf;
· Ondersteuning bieden bij het ontwerp van beproevingsmethodieken voor genoemde systemen; Analyseren en rapporteren van de toestand van beveiliging en besturingssystemen en adviseert bij afwijkingen over de te nemen acties;
· Het opstellen en beoordelen van testprotocollen en inbedrijfsname programma’s;
· Het coördineren van testwerkzaamheden; Begeleiden van aannemers bij nieuwbouw/renovatie projecten;
· Bijhouden van relevante projectadministratie;
· Reviewen van tekeningen.
Wat verwachten wij van jou?
· MBO+/HBO denkniveau in de richting van Elektrotechniek
· 0-2 jaar werkervaring in de hoogspanningstechniek
· Aanpassingsvermogen
· Je bent in het bezit van een rijbewijs
· Je kunt zowel zelfstandig werken als in een team
· Communicatief vaardig in woord en geschrift
· Je vindt het leuk om te reizen aangezien de werkzaamheden landelijk plaatsvinden
Wat bieden wij?
· De mogelijkheid om per direct aan de slag te gaan
· Je eigen persoonlijke contactpersoon binnen Samsam®
· Indien noodzakelijk begeleiding en jobcoaching ‘on the job’
· Uitstekend salaris en goede arbeidsvoorwaarden conform CAO
· Zicht op contract voor onbepaalde tijd
Wie zijn wij?
Wij zijn specialisten in het uitzenden van hooggekwalificeerd personeel. Samsam werkt landelijk voor diverse opdrachtgevers en staat erom bekend dat wij snel, efficiënt en eerlijk werken. Daarnaast zijn wij flexibel, oplossingsgericht en beantwoorden we je vragen altijd.
Neem contact op!
Ben jij de elektrotechnicus die we zoeken en wil je aan de slag in Eersel? Solliciteer dan direct!
Voor verdere vragen: neem dan contact op met Dejan op 088-7113303, of stuur een appje naar 0682455003
Samsam is aangesloten bij VRO en in het bezit van het SNA-keurmerk.
Soort dienstverband: Fulltime, Bepaalde tijd
Salaris: Vanaf €16,00 per uur
Arbeidsvoorwaarden:
Reiskostenvergoeding
Werkschema:
ma-vr
Ervaring:
hoogspanningstechniek: 1 jaar (Aanbevolen)
Opleiding:
MBO (Vereist)
Thuiswerken:
Nee",-1,Samsam,Eersel,-1,-1,-1,-1,-1,-1,-1,-1
72,Zelfstandige Installatiemonteur,-1,"Wat ga je doen?
Ben jij een ervaren Installatiemonteur binnen de woningbouw / nieuwbouw/ utiliteit en werk je graag zelfstandig? Als Installatiemonteur ben je verantwoordelijk voor het zelfstandig plaatsen van verschillende installaties, van het monteren van sanitair tot leidingwerk. Aan de hand van tekeningen of op aanwijzing van je leidinggevende ben je verantwoordelijk voor het plaatsen van de verschillende installaties en het afmonteren van de installaties. Jij bent verantwoordelijk voor het volledig zelfstandig uitvoeren van onderstaande werkzaamheden:
Het aanleggen en onderhouden van verwarmingsinstallaties, gas- en waterleidingen, rioleringen met beluchting, hemelwater afvoersystemen, gootbekleding en dakbedekking;
Het bepalen van de plaats van te monteren apparatuur aan de hand van tekeningen en plattegronden;
Het plaatsen en aansluiten van radiatoren, CV ketels, luchtverwarmers, kanalen en appendages;
Het monteren en aansluiten van boilers, geisers, kranen voor gastoestellen en afvoeren voor was- en vaatwasmachines;
Het aanleggen van leidingen voor verwarmings-, gas- en warmwatertapinstallaties;
Het stellen van badkuipen en het afmonteren van wastafels, chiffons, waterkranen, spiegels, toiletpotten en andere sanitaire voorzieningen;
Het verrichten van onderhoud en reparaties aan leidingen, kranen, afvoeren, geisers en zinkwerk (dakbedekking, goten, regenpijpen);
Het begeleiden van de assistent monteurs m.b.t. montage aspecten.
Wat heb je nodig?
Jij hebt een aantal jaar werkervaring als Installatiemonteur en beschikt over eigen vervoer en handgereedschap. Je levert graag hoge kwaliteit en bent vriendelijk en klantgericht. Verder beschik jij over:
Een afgeronde mbo opleiding richting installatietechniek;
VCA certificaat;
Rijbewijs B.
Je krijgt:
Deze zelfstandige functie binnen een vernieuwende organisatie biedt jou:
Een uitstekend salaris tot 3500 bruto per maand;
Goede secundaire arbeidsvoorwaarden;
Opleidingsmogelijkheden;
Doorgroeimogelijkheden tot chef monteur en persoonlijke ontwikkelingsmogelijkheden;
Reiskostenvergoeding en goede pensioenregeling;
Auto van de zaak;
Goede parkeergelegenheid;
Vast onkostenregeling.",5.0,"VNOM
5.0",Delft,-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
73,(SOCIAAL) PSYCHIATRISCH VERPLEEGKUNDIGE (SPV),-1,"(sociaal) psychiatrisch verpleegkundige
Team de Langstraat (standplaats Waalwijk) zoekt een nieuwe collega
uren in overleg

Ben jij?
Opgeleid als (sociaal) psychiatrische verpleegkundige en wil jij jouw kennis en ervaring van het ambulante werk inzetten in een innovatieve organisatie waarin zelfstandigheid voorop staat? Iemand die zelfsturing als een uitdaging ziet en samen met de teamgenoten op zoek gaat naar passende behandelingen voor onze cliënten? Iemand die in oplossingen denkt en naar mogelijkheden zoekt? Eigenwijs is en deze ‘eigen wijze’ mee kan nemen in jouw eigen unieke manier van werken? Een netwerker, die de samenwerking aangaat met huisartsen, POH’s en andere hulpverleners.

Onze organisatie
BuurtzorgT is een snelgroeiende vernieuwende organisatie die specialistische GGZ behandeling biedt aan volwassenen in de eigen leefomgeving. We gaan uit van de kracht van de cliënten en gaan samen met de cliënt op zoek naar behandelmogelijkheden en oplossingen die het beste passen. We doen dat graag samen met dierbaren van de cliënt. We werken nauw samen met huisarts en andere ketenpartners. Onze teams zijn multidisciplinair, klein, zelfsturend en werken oplossingsgericht.
Jouw baan
Voor ons Team de Langstraat zijn wij op zoek naar een (sociaal) psychiatrische verpleegkundige met ervaring in het ambulante werk en de Specialistische GGZ, die zin heeft om in een zelfsturend team te werken. Je houdt je bezig met het samen met je teamgenoten en de psychiater uitvoeren specialistische herstelondersteunende psychiatrische behandeling aan huis; het bewaken en ontwikkelingen van de zelfsturing en alle regel- en organisatie taken die daarbij horen.
We verwachten dat je het team zal inspireren met nieuwe inzichten en creativiteit. Geloof jij, net als wij, in werken vanuit compassie en zelfcompassie, persoonlijke psychiatrie, herstel en positieve gezondheid? Kun je goed samenwerken, organiseren en netwerken? Ben je in bezit van een auto? Dan zoeken wij jou!
Wij bieden
Een inspirerende baan in een klein enthousiast team, waar werkplezier, professionele verantwoordelijkheid en humor belangrijke kernwaarden zijn. Salariëring vindt plaats op basis van de cao GGZ. Het aantal uren is in overleg.
Informatie en solliciteren
Herken je jezelf in deze vacature, dan komen we graag met je in contact? Voor eventuele informatie kun je bellen 06-20207246 . Motivatie en CV kun je mailen naar delangstraat@buurtzorgt.nl",-1,Buurtzorgt,Langstraat,-1,-1,-1,-1,-1,-1,-1,-1
