,Index,word,frequency,Is requirment
124,224,design,222,
125,225,world,221,
126,226,commercial,219,
127,227,attention,218,
128,228,go,217,
129,229,large,216,
130,230,see,216,
131,231,program,215,
132,232,english,215,
133,233,quickly,214,
134,234,real,214,
135,235,internal,213,
136,236,nice,212,
137,237,b,210,
138,238,control,210,
139,239,collective,209,
140,240,grow,208,
141,241,future,208,
142,242,short,206,
143,243,additional,206,
144,244,life,205,
145,245,initiative,205,1.0
146,246,central,203,
147,247,driving,203,
148,248,thing,201,
149,249,account,200,
150,250,build,200,
151,251,everything,200,
152,252,read,197,
153,253,vacation,196,
154,254,close,196,
155,255,preferably,195,
156,256,open,195,
157,257,software,195,
158,258,become,194,
159,259,expect,192,
160,260,production,191,
161,261,involved,191,
162,262,value,191,
163,263,small,191,
164,264,acquisition,190,
165,265,many,190,
166,266,drawing,190,
167,267,fun,189,
168,268,accordance,189,
169,269,person,189,
170,270,nursing,187,
171,271,leader,187,1.0
172,272,including,185,
173,273,perform,183,
174,274,experienced,183,1.0
175,275,enjoy,182,
176,276,interested,182,1.0
177,277,set,181,
178,278,discount,180,
179,279,call,180,
180,280,function,180,
181,281,profile,179,
182,282,send,179,
183,283,advice,177,
184,284,step,176,
185,285,ability,176,
186,286,self,176,
187,287,button,176,
188,288,feel,176,
189,289,focus,175,
190,290,machine,175,
191,291,network,173,
192,292,ambition,173,
193,293,learning,173,
194,294,candidate,171,
195,295,logistics,171,
196,296,equipment,171,
197,297,transport,171,
198,298,senior,170,
199,299,package,169,
200,300,living,169,
201,301,someone,168,
202,302,option,167,
203,303,two,167,
204,304,bring,166,
205,305,report,166,
206,306,manage,165,
207,307,retirement,165,
208,308,willing,165,
209,309,repair,165,
210,310,success,164,
211,311,implementation,164,
212,312,fast,164,
213,313,consultation,163,
214,314,school,163,
215,315,command,162,
216,316,improvement,162,
217,317,daily,161,
218,318,energy,160,
219,319,player,160,1.0
220,320,passion,160,
221,321,insurance,159,
222,322,point,159,
223,323,extra,159,
224,324,safety,159,
225,325,response,158,
226,326,affinity,158,
227,327,scale,157,
228,328,mechanical,157,
229,329,recognize,156,
230,330,guidance,154,
231,331,assistant,153,1.0
232,332,planning,153,1.0
233,333,soon,152,
234,334,international,151,1.0
235,335,brand,151,
236,336,workplace,151,
237,337,join,150,
238,338,description,150,
239,339,e,150,
240,340,leave,150,
241,341,security,149,
242,342,space,149,
243,343,relationship,148,
244,344,form,148,
245,345,performance,148,
246,346,appreciated,148,
247,347,act,147,
248,348,goal,146,
249,349,managing,146,
250,350,committed,145,1.0
251,351,van,145,
252,352,plenty,144,
253,353,next,144,
254,354,maximum,144,
255,355,tool,144,
256,356,drive,143,
257,357,hand,143,
258,358,air,142,
259,359,drink,142,
260,360,line,142,
261,361,long,142,
262,362,de,142,
263,363,policy,141,
264,364,live,141,
265,365,basis,140,
266,366,case,140,
267,367,delivery,139,
268,368,operation,138,
269,369,everyone,138,
270,370,plus,137,
271,371,recruitment,137,
272,372,developing,137,
273,373,due,136,
274,374,happy,136,1.0
275,375,letter,135,
276,376,young,135,1.0
277,377,interest,135,
278,378,much,134,
279,379,free,133,
280,380,payment,133,
281,381,party,132,
282,382,therefore,132,
283,383,driven,132,
284,384,public,132,
285,385,expense,132,
286,386,making,132,
287,387,providing,131,
288,388,required,131,
289,389,private,131,
290,390,range,131,
291,391,creative,131,1.0
292,392,big,130,
293,393,must,130,
294,394,employer,130,
295,395,culture,130,
296,396,date,129,
297,397,directly,129,
298,398,continue,128,
299,399,eye,128,
300,400,extensive,128,
301,401,laptop,127,
302,402,around,127,
303,403,respond,127,
304,404,talent,127,
305,405,risk,127,
306,406,expertise,126,
307,407,depending,126,
308,408,love,126,
309,409,individual,126,
310,410,better,125,
311,411,related,125,
312,412,phone,125,
313,413,strategy,125,
314,414,annual,124,
315,415,given,124,
316,416,active,123,1.0
317,417,deliver,122,1.0
318,418,global,122,
319,419,sustainable,122,1.0
320,420,even,121,
321,421,issue,120,
322,422,unique,120,
323,423,wish,120,
324,424,maintain,120,
325,425,heart,120,
326,426,consultant,119,1.0
327,427,digital,119,
328,428,cost,119,
329,429,leading,119,1.0
330,430,using,119,
331,431,action,118,
332,432,staff,118,
333,433,round,117,
334,434,competitive,117,1.0
335,435,country,116,
336,436,approach,116,
337,437,closely,116,
338,438,provider,116,1.0
339,439,child,116,
340,440,conduct,116,
341,441,ambitious,115,1.0
342,442,user,115,
343,443,correct,114,
344,444,achieve,114,
345,445,create,114,
346,446,lead,114,
347,447,expert,114,1.0
348,448,financial,114,1.0
349,449,sense,113,
350,450,afternoon,113,
351,451,truck,113,
352,452,interview,112,
353,453,written,112,
354,454,carry,112,
355,455,test,112,
356,456,administration,112,
357,457,legal,112,
358,458,bicycle,111,
359,459,sector,111,
360,460,national,111,
361,461,ready,111,
362,462,participate,111,
363,463,target,111,
364,464,proactive,111,1.0
365,465,material,111,
366,466,innovation,110,
367,467,paid,110,
368,468,top,110,
369,469,several,110,
370,470,government,110,
371,471,existing,109,
372,472,student,109,
373,473,diverse,109,
374,474,mon,108,
375,475,really,108,
376,476,believe,108,
377,477,clear,108,
378,478,check,108,
379,479,recruiter,107,
380,480,stand,107,
381,481,share,107,1.0
382,482,insight,107,1.0
383,483,beautiful,107,1.0
384,484,stakeholder,107,1.0
385,485,medical,107,
386,486,cloud,107,
387,487,curious,106,1.0
388,488,whether,106,
389,489,teacher,106,
390,490,house,106,
391,491,kitchen,106,
392,492,stress,105,
393,493,located,105,
394,494,academy,105,
395,495,sport,105,
396,496,site,105,
397,497,complete,104,
398,498,email,104,
399,499,successful,104,1.0
400,500,cooperation,104,1.0
401,501,member,104,
402,502,analytical,103,1.0
403,503,towards,103,
404,504,without,103,
405,505,motivated,103,1.0
406,506,prospect,103,
407,507,consists,103,
408,508,something,102,
409,509,weekend,102,
410,510,positive,102,1.0
411,511,external,102,
412,512,facility,102,
413,513,welcome,102,
414,514,contribution,102,
415,515,along,102,
416,516,workshop,102,
417,517,standard,101,
418,518,meeting,101,
419,519,entire,101,
420,520,improve,101,
421,521,platform,101,
422,522,mainly,100,
423,523,already,100,
424,524,selection,100,
425,525,agency,100,
426,526,healthy,100,
427,527,freedom,100,
428,528,profession,99,
429,529,according,99,
430,530,used,99,
431,531,renovation,99,
432,532,visit,99,
433,533,among,99,
434,534,across,99,
435,535,made,98,
436,536,satisfaction,98,
437,537,collaboration,98,
438,538,change,97,
439,539,five,97,
440,540,passionate,97,1.0
441,541,operational,97,1.0
442,542,supply,96,
443,543,evening,96,
444,544,detail,96,
445,545,request,96,
446,546,idea,96,
447,547,elderly,96,
448,548,paramount,96,
449,549,supplier,96,1.0
450,550,assignment,95,
451,551,chain,95,
452,552,study,95,
453,553,variety,95,
454,554,content,95,
455,555,store,95,
456,556,checking,95,
457,557,mission,95,
458,558,key,94,
459,559,demonstrable,94,
460,560,versatile,94,1.0
461,561,modern,94,
462,562,fully,94,
463,563,match,93,
464,564,maintaining,93,
465,565,deal,93,
466,566,website,93,
467,567,appropriate,93,
468,568,discus,93,
469,569,head,92,
470,570,basic,92,
471,571,eager,92,
472,572,technique,92,
473,573,impact,92,
474,574,importance,92,
475,575,identify,92,
476,576,dental,92,
477,577,minimum,91,
478,578,friendly,91,
479,579,suit,91,
480,580,planner,91,1.0
481,581,regard,90,
482,582,general,90,
483,583,attractive,90,1.0
484,584,coaching,90,
485,585,resistant,90,
486,586,view,90,
487,587,core,90,
488,588,degree,89,1.0
489,589,guide,89,
490,590,status,89,
491,591,current,89,
492,592,realize,89,
493,593,age,89,
494,594,developer,89,1.0
495,595,understand,89,
496,596,unit,89,
497,597,throughout,89,
498,598,properly,88,
499,599,law,88,
500,600,heating,87,
501,601,regulation,87,
502,602,situation,87,
503,603,chance,86,
504,604,choice,86,
505,605,similar,86,
506,606,total,86,
507,607,balance,86,
508,608,higher,86,
509,609,monitor,85,
510,610,hard,85,
511,611,difference,85,
512,612,residential,85,
513,613,hr,85,1.0
514,614,include,84,
515,615,suitable,84,
516,616,primary,84,
517,617,night,84,
518,618,moment,84,
519,619,started,84,
520,620,warehouse,84,
521,621,outside,83,
522,622,safe,83,
523,623,duration,83,
524,624,inspiring,83,1.0
525,625,en,83,
526,626,mentality,83,
527,627,preparation,82,
528,628,background,82,
529,629,infrastructure,82,
530,630,analysis,82,1.0
531,631,housing,82,
532,632,appointment,81,
533,633,wide,81,
534,634,internship,81,
535,635,writing,80,
536,636,administrative,80,1.0
537,637,communicative,80,1.0
538,638,overtime,80,
539,639,communicate,80,1.0
540,640,largest,80,
541,641,run,80,
542,642,estate,80,
543,643,prepare,79,
544,644,actively,79,
545,645,malfunction,79,
546,646,special,79,
547,647,guideline,78,
548,648,organizational,78,1.0
549,649,strategic,78,1.0
550,650,click,78,
551,651,proud,77,
552,652,priority,77,
553,653,direction,77,
554,654,specific,77,
555,655,corporate,77,
556,656,solving,76,
557,657,since,76,
558,658,often,76,
559,659,continuous,76,
560,660,approximately,76,
561,661,water,76,
562,662,back,75,
563,663,non,75,
564,664,creating,75,
565,665,lunch,75,
566,666,food,75,
567,667,equal,75,
568,668,easily,75,
569,669,functional,75,
570,670,registration,75,
571,671,advise,75,
572,672,portfolio,75,
573,673,track,75,
574,674,district,75,
575,675,put,74,
576,676,input,74,
577,677,document,73,
578,678,still,73,
579,679,event,73,
580,680,disability,73,
581,681,implement,73,
582,682,monthly,73,
583,683,master,73,
584,684,flexibility,72,
585,685,research,72,
586,686,fresh,72,
587,687,currently,72,
588,688,coordinator,72,1.0
589,689,arrangement,72,
590,690,park,72,
591,691,constantly,71,
592,692,direct,71,
593,693,tax,71,
594,694,mobile,71,
595,695,video,71,
596,696,advisor,71,
597,697,may,71,
598,698,latest,71,
599,699,city,70,
600,700,strengthen,70,
601,701,coordinate,70,
602,702,municipality,70,
603,703,connection,70,
604,704,vehicle,70,
605,705,matter,69,
606,706,method,69,
607,707,duty,69,
608,708,concern,69,
609,709,switch,69,
610,710,carrying,69,1.0
611,711,fit,69,
612,712,performing,69,1.0
613,713,count,69,
614,714,link,68,
615,715,local,68,
616,716,multiple,68,
617,717,inspection,68,
618,718,coffee,68,
619,719,ensuring,68,
620,720,forward,68,
621,721,accessible,68,
622,722,thanks,67,
623,723,coach,67,
624,724,word,67,
625,725,processing,67,
626,726,optimally,67,
627,727,vision,67,
628,728,community,67,
629,729,decision,67,
630,730,provides,67,
631,731,applying,67,
632,732,interesting,66,
633,733,supervisor,66,
634,734,progress,66,
635,735,etc,66,
636,736,qualification,66,
637,737,fitness,66,
638,738,optimal,66,
639,739,regularly,66,
640,740,preparing,66,1.0
641,741,mental,66,1.0
642,742,campaign,66,
643,743,pm,66,
644,744,valid,65,
645,745,practical,65,1.0
646,746,taking,65,
647,747,mail,65,
648,748,obtain,65,
649,749,others,65,
650,750,tackle,65,
651,751,internally,64,
652,752,web,64,
653,753,trade,64,
654,754,reporting,64,1.0
655,755,organizing,64,
656,756,continuously,64,
657,757,includes,64,
658,758,shop,64,
659,759,expected,64,
660,760,organize,64,
661,761,deployed,63,1.0
662,762,practitioner,63,
663,763,understanding,63,
664,764,discipline,63,
665,765,three,63,
666,766,helping,63,
667,767,architecture,63,
668,768,environmental,63,
669,769,gym,62,
670,770,structure,62,
671,771,conversation,62,
672,772,familiar,62,
673,773,knit,62,
674,774,doctor,62,
675,775,model,62,
676,776,accurate,61,
677,777,access,61,
678,778,naturally,61,
679,779,coordinating,61,
680,780,play,61,
681,781,manner,60,
682,782,preferred,60,
683,783,setting,60,
684,784,move,60,
685,785,show,60,
686,786,let,60,
687,787,collaborate,60,
688,788,commerce,60,
689,789,medium,60,
690,790,contractor,60,
691,791,refrigeration,60,
692,792,starting,59,
693,793,psychiatric,59,1.0
694,794,solve,59,
695,795,capability,59,
696,796,resource,59,
697,797,worker,59,
698,798,abroad,59,
699,799,automation,58,
700,800,enterprising,58,
701,801,done,58,
702,802,base,58,
703,803,carpenter,58,1.0
704,804,translate,57,1.0
705,805,metal,57,
706,806,train,57,
707,807,touch,57,
708,808,class,57,
709,809,prepared,57,1.0
710,810,framework,57,
711,811,another,57,
712,812,power,57,
713,813,common,57,
714,814,calculation,57,
715,815,installing,57,
716,816,mobility,57,
717,817,provided,56,
718,818,german,56,
719,819,orientation,56,
720,820,resume,56,
721,821,energetic,56,1.0
722,822,physical,56,
723,823,monitoring,56,1.0
724,824,presentation,56,1.0
725,825,assessment,56,1.0
726,826,addiction,56,
727,827,representative,55,1.0
728,828,structured,55,
729,829,window,55,
730,830,regarding,55,
731,831,station,55,
732,832,computer,55,
733,833,c,55,
734,834,gas,55,
735,835,increase,55,
736,836,demand,55,
737,837,expectation,55,
738,838,amazon,55,
739,839,four,54,
740,840,floor,54,
741,841,board,54,
742,842,vocational,54,
743,843,potential,54,
744,844,industrial,53,
745,845,execution,53,
746,846,retail,53,
747,847,sufficient,53,1.0
748,848,worldwide,53,
749,849,highly,53,
750,850,accountant,53,
751,851,society,53,
752,852,hospital,53,
753,853,million,53,
754,854,south,53,
755,855,w,53,
756,856,independence,53,
757,857,collegial,53,
758,858,spoken,53,
759,859,caring,53,
760,860,enterprise,53,
761,861,enough,52,
762,862,feeling,52,
763,863,reliable,52,1.0
764,864,oral,52,
765,865,affair,52,
766,866,commitment,52,1.0
767,867,institution,52,
768,868,leadership,52,1.0
769,869,stock,52,
770,870,villa,52,
771,871,military,52,
772,872,road,52,
773,873,sound,51,
774,874,den,51,
775,875,controller,51,
776,876,accurately,51,
777,877,instruction,51,
778,878,measure,51,
779,879,outing,51,
780,880,solid,51,
781,881,objective,51,
782,882,channel,51,
783,883,enthusiasm,51,
784,884,provision,51,
785,885,mind,51,
786,886,lease,51,
787,887,reference,51,
788,888,custom,51,
789,889,officer,51,
790,890,exercise,51,
791,891,purchasing,51,
792,892,rehabilitation,51,
793,893,determine,50,
794,894,adjustment,50,
795,895,choose,50,
796,896,today,50,
797,897,reading,50,
798,898,proposal,50,
799,899,smart,50,
800,900,assist,50,
801,901,thus,50,
802,902,phase,50,
803,903,door,50,
804,904,register,49,
805,905,organized,49,1.0
806,906,consist,49,
807,907,satisfied,49,
808,908,registered,49,
809,909,fringe,49,
810,910,regular,49,
811,911,assembly,49,
812,912,associated,49,
813,913,else,49,
814,914,deadline,49,
815,915,psychologist,49,
816,916,away,49,
817,917,supporting,49,1.0
818,918,preventive,49,1.0
819,919,desired,49,
820,920,comparable,49,
821,921,overview,48,
822,922,documentation,48,
823,923,substantive,48,
824,924,temporary,48,
825,925,wo,48,
826,926,participation,48,
827,927,integration,48,
828,928,commuting,48,
829,929,lift,48,
830,930,longer,48,
831,931,chemistry,48,1.0
832,932,aim,47,
833,933,efficient,47,1.0
834,934,trained,47,
835,935,remain,47,
836,936,second,47,
837,937,dare,47,
838,938,multidisciplinary,47,1.0
839,939,realization,47,
840,940,depends,47,
841,941,diversity,47,
842,942,fault,47,
843,943,nature,47,
844,944,expand,47,
845,945,adult,47,
846,946,category,47,
847,947,agile,47,
848,948,google,47,
849,949,card,47,
850,950,hear,46,
851,951,keeping,46,
852,952,skilled,46,
853,953,stay,46,
854,954,consumer,46,
855,955,improving,46,
856,956,temporarily,46,
857,957,price,46,
858,958,major,46,
859,959,speak,46,
860,960,meaningful,46,1.0
861,961,calling,46,
862,962,implementing,46,
863,963,pipe,46,
864,964,present,46,
865,965,branch,46,
866,966,frame,46,
867,967,ministry,46,
868,968,availability,46,1.0
869,969,clinical,46,
870,970,employed,46,
871,971,broad,46,
872,972,focused,46,
873,973,component,46,
874,974,file,46,
875,975,return,45,
876,976,completely,45,
877,977,tablet,45,
878,978,guiding,45,1.0
879,979,strength,45,
880,980,state,45,
881,981,talk,45,
882,982,ideal,45,
883,983,continuing,45,
884,984,royal,45,
885,985,caregiver,45,1.0
886,986,dentist,45,
887,987,insulation,45,
888,988,main,44,
889,989,handle,44,
890,990,purchase,44,
891,991,sell,44,
892,992,efficiently,44,
893,993,director,44,
894,994,aspect,44,
895,995,combination,44,
896,996,running,44,1.0
897,997,shape,44,
898,998,integrated,44,1.0
899,999,personnel,44,
900,1000,warm,44,
901,1001,quotation,44,
902,1002,operating,44,
903,1003,concept,44,
904,1004,easy,43,
905,1005,old,43,
906,1006,feedback,43,
907,1007,reach,43,
908,1008,gender,43,
909,1009,address,43,
910,1010,clearly,43,
911,1011,specialized,43,1.0
912,1012,proven,43,
913,1013,force,43,
914,1014,app,42,
915,1015,critical,42,1.0
916,1016,cleaning,42,
917,1017,personality,42,
918,1018,strive,42,
919,1019,judicial,42,1.0
920,1020,ultimately,42,
921,1021,concrete,42,1.0
922,1022,especially,42,
923,1023,carer,42,
924,1024,exciting,42,
925,1025,guest,42,
926,1026,structural,42,
927,1027,n,42,
928,1028,operate,41,
929,1029,developed,41,
930,1030,smartphone,41,
931,1031,fluent,41,
932,1032,never,41,
933,1033,testing,41,
934,1034,preference,41,
935,1035,submit,41,
936,1036,km,41,
937,1037,inclusive,41,1.0
938,1038,applicant,41,
939,1039,breakdown,41,
940,1040,generous,41,1.0
941,1041,dementia,41,
942,1042,recovery,41,
943,1043,architect,41,
944,1044,supervision,41,
945,1045,marine,41,
946,1046,forklift,41,
947,1047,perfect,40,
948,1048,ensures,40,
949,1049,install,40,
950,1050,flexibly,40,
951,1051,ground,40,
952,1052,almost,40,
953,1053,consider,40,
954,1054,clinic,40,
955,1055,selling,40,
956,1056,capacity,40,
957,1057,spirit,40,
958,1058,little,39,
959,1059,restaurant,39,
960,1060,traffic,39,
961,1061,advising,39,1.0
962,1062,classified,39,
963,1063,specification,39,
964,1064,connect,39,
965,1065,name,39,
966,1066,giving,39,
967,1067,plumber,39,1.0
968,1068,bus,39,
969,1069,face,39,
970,1070,encourage,39,
971,1071,finally,39,
972,1072,eligible,39,1.0
973,1073,solar,39,
974,1074,require,39,
975,1075,exactly,39,
976,1076,furniture,39,
977,1077,ass,39,
978,1078,professionally,38,1.0
979,1079,motivate,38,1.0
980,1080,optimization,38,1.0
981,1081,prefer,38,
982,1082,cup,38,
983,1083,last,38,
984,1084,extension,38,
985,1085,reached,38,
986,1086,advanced,38,
987,1087,sustainability,38,1.0
988,1088,domain,38,
989,1089,invite,38,
990,1090,cycle,38,1.0
991,1091,membership,38,
992,1092,morning,38,
993,1093,utility,38,
994,1094,pressure,38,1.0
995,1095,advertisement,38,
996,1096,qualified,38,1.0
997,1097,kind,38,
998,1098,needed,38,1.0
999,1099,competency,38,1.0
0,1100,engine,38,
1,1101,bathroom,38,
2,1102,finding,37,
3,1103,pick,37,
4,1104,integrity,37,1.0
5,1105,answer,37,
6,1106,yet,37,
7,1107,foundation,37,
8,1108,sometimes,37,
9,1109,exchange,37,
10,1110,offering,37,
11,1111,spend,37,
12,1112,known,37,
13,1113,characteristic,37,
14,1114,university,37,1.0
15,1115,entrepreneurial,37,1.0
16,1116,transition,37,
17,1117,box,37,
18,1118,competence,37,1.0
19,1119,protected,37,
20,1120,sanitary,37,
21,1121,conditioning,37,
22,1122,delivering,37,
23,1123,flow,37,
24,1124,shared,36,
25,1125,optimizing,36,1.0
26,1126,pleasure,36,
27,1127,certification,36,
28,1128,sure,36,
29,1129,aimed,36,
30,1130,transfer,36,
31,1131,creativity,36,1.0
32,1132,busy,36,
33,1133,identity,36,
34,1134,buy,36,
35,1135,collect,36,
36,1136,supplemented,36,
37,1137,source,36,
38,1138,effort,36,
39,1139,journey,36,
40,1140,tech,36,1.0
41,1141,block,36,
42,1142,roof,36,
43,1143,climate,36,
44,1144,carers,36,
45,1145,north,36,
46,1146,draw,35,
47,1147,assistance,35,1.0
48,1148,incoming,35,
49,1149,cool,35,
50,1150,record,35,1.0
51,1151,french,35,1.0
52,1152,gain,35,
53,1153,entrepreneur,35,1.0
54,1154,compliance,35,
55,1155,trend,35,
56,1156,amount,35,
57,1157,apartment,35,
58,1158,corona,35,
59,1159,appeal,35,
60,1160,measurement,35,
61,1161,optimize,35,1.0
62,1162,perspective,35,
63,1163,religion,35,
64,1164,entrepreneurship,35,1.0
65,1165,executive,35,
66,1166,increasing,35,
67,1167,effectively,35,
68,1168,permit,35,
69,1169,consult,35,1.0
70,1170,sharing,35,1.0
71,1171,fitter,35,1.0
72,1172,recent,34,
73,1173,accommodation,34,
74,1174,trust,34,
75,1175,invest,34,
76,1176,failure,34,
77,1177,changing,34,
78,1178,enter,34,
79,1179,fellow,34,
80,1180,getting,34,
81,1181,ventilation,34,
82,1182,intelligence,34,1.0
83,1183,behind,34,
84,1184,net,34,
85,1185,possibly,34,
86,1186,appreciate,34,
87,1187,panel,34,
88,1188,upon,34,
89,1189,promise,34,
90,1190,accrual,34,
91,1191,association,34,
92,1192,safely,34,
93,1193,contributing,34,
94,1194,regional,34,
95,1195,tailor,33,
96,1196,pipeline,33,
97,1197,hardware,33,1.0
98,1198,apprentice,33,
99,1199,combine,33,
100,1200,yes,33,
101,1201,intensive,33,
102,1202,profit,33,
103,1203,stimulate,33,
104,1204,handling,33,
105,1205,occurring,33,
106,1206,found,33,
107,1207,smoothly,33,
108,1208,side,33,
109,1209,offered,33,
110,1210,allows,33,
111,1211,science,33,1.0
112,1212,emergency,33,1.0
113,1213,psychiatry,33,1.0
114,1214,protection,33,
115,1215,prevention,33,
116,1216,lesson,33,
117,1217,willingness,33,
118,1218,storage,33,
119,1219,supported,33,
120,1220,heat,33,
121,1221,sap,33,
122,1222,operator,33,1.0
123,1223,effective,33,
124,1224,native,33,
125,1225,scrum,33,1.0
126,1226,plastic,33,
127,1227,connecting,32,
128,1228,cultural,32,1.0
129,1229,smile,32,
130,1230,database,32,1.0
131,1231,perfectly,32,
132,1232,excel,32,1.0
133,1233,third,32,
134,1234,fire,32,
135,1235,turn,32,
136,1236,coordination,32,1.0
137,1237,employability,32,
138,1238,discover,32,
139,1239,designing,32,1.0
140,1240,boiler,32,
141,1241,educational,32,1.0
142,1242,partnership,32,
143,1243,engagement,32,
144,1244,ante,32,
145,1245,screening,32,1.0
146,1246,architectural,32,1.0
147,1247,principle,32,
148,1248,stop,31,
149,1249,engaged,31,
150,1250,m,31,
151,1251,guarantee,31,
152,1252,correctly,31,
153,1253,figure,31,
154,1254,resolve,31,
155,1255,coming,31,
156,1256,requires,31,
157,1257,vitality,31,1.0
158,1258,certainly,31,
159,1259,purpose,31,
160,1260,attach,31,
161,1261,revenue,31,
162,1262,involvement,31,
163,1263,crisis,31,
164,1264,unlimited,31,
165,1265,say,31,
166,1266,deep,31,
167,1267,hygiene,31,
168,1268,fuel,31,
169,1269,supervising,31,1.0
170,1270,marketer,31,1.0
171,1271,awarded,31,
172,1272,stable,30,
173,1273,timely,30,
174,1274,somatic,30,
175,1275,wait,30,
176,1276,investment,30,
177,1277,max,30,
178,1278,average,30,
179,1279,identifying,30,
180,1280,dose,30,
181,1281,afraid,30,
182,1282,functioning,30,
183,1283,table,30,
184,1284,race,30,
185,1285,picture,30,
186,1286,automotive,30,1.0
187,1287,firm,30,
188,1288,money,30,
189,1289,workforce,30,
190,1290,parking,30,
191,1291,built,30,
192,1292,equality,30,
193,1293,engage,30,1.0
194,1294,thorough,30,1.0
