,Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
157,157,Crane truck driver ,-1,"Nijssen Fourages is an important player in the international forage trade. As we put it in simplified terms: “trade in hay and straw”. In addition to our trade in hay and straw, we also offer smart solutions for the storage and disposal of horse manure. And for this branch of sport we are looking for an enthusiastic driver / crane operator with a passion for the profession for our manure truck with crane. What are you going to do? As a crane operator on our fertilizer truck you have a versatile and challenging job. You have a lot of contact with the customer and give advice on storage and disposal of manure. You place the manure containers at the customer's desired location and empty the containers on route. With your truck you come to the most beautiful locations in the Netherlands to collect the manure there. We ask you this MBO + working and thinking level. Driving license CE. Experience as a crane operator is an advantage. Customer and service oriented. Good command of the Dutch language in word and writing. You have good knowledge of the road network. You are orderly and disciplined. You are communicative and can convey your message clearly. You stand firmly in your shoes. You are stress resistant and solution oriented. In possession of own transport. Living near the Haarlemmermeer. This is what we offer you Responsible full-time position within an informal and collegial team. Market-based salary with excellent pension scheme. Good secondary employment conditions. Training and development opportunities. Pleasant and informal working atmosphere. Staff association with fun activities every year. A fun and driven team of colleagues. Cozy canteen with all the trimmings. What kind of company is Nijssen Fourages? Nijssen Fourages is a real family business with its roots in the farmer's clay. With our employees, we stand for short lines of communication and a no-nonsense approach. We work in small divisions and with the most modern means. As an international trading company, our aim is to build long-term relationships with domestic and foreign suppliers and customers, in which we prefer quality over quantity. Integrity, team spirit, professional competence and safety are the four cornerstones in which the standards and values ​​of the family business are translated. We have been customer-oriented and always innovative since 1938. A company in which the saying: ""a man a man, a word a word"" has remained central. As a forage merchant, we buy and sell roughage, bedding and bedding to our customers. We purchase large batches of hay and straw from our domestic and foreign suppliers for further sale to our customers. These include riding schools, boarding houses, the mounted police and zoos such as Artis and Amersfoort Zoo. But private individuals with a horse at home also buy our products. Nijssen Fourages is part of the Nijssen Group, which also includes the companies Nijssen Recycling B.V. and Brantjes Data Destruction B.V. belong. Nijssen Recycling is specialized in the separation and collection of recyclable raw materials from companies. Brantjes specializes in certified data destruction, such as the trusted destruction of archival paper and other (digital) data carriers. We would like to meet you We look forward to receiving your CV with cover letter. But you can also first send a message or email with any questions, or just as an introduction. Of course you can also call us or visit Nijssen Fourages in Nieuw-Vennep. We would like to meet you and are curious what you think of our vacancy. If you prefer to send a letter of application with your CV right away, that is of course also possible. You can address this to Erik Alders. This is how you can reach us: Call us and ask for Erik Alders: 0252 - 674 041 Visit us for a personal introduction: Nijssen Fourages B.V. Rijnlanderweg 1427 2153 KE New-Vennep We hope to hear from you soon. And don't hesitate to contact us with any questions and concerns. We would like to further explain our vacancy to you. Sincerely, Erik Alders Nijssen Fourages B.V. Secondary benefits: Retirement Holiday pay Type of employment: Full-time, Indefinite period Salary: € 0.00 per month Working from home: No ",-1.0,Nijssen Fourages B.V.,Nieuw-Vennep,-1,-1,-1,-1,-1,-1,-1,-1
158,158,Recruitment Specialist ,-1,"Job group: Recruitment assistant  Desired number of hours: Location: Oosterhout, NB, NL  Company: SSC - Clinics  Are you a recruitment professional pur sang, do you enjoy sourcing the right people for the right job and setting up and supervising procedures? Then this is your new job!  Who are we?  DentConnect is a fast-growing organization with dental practices in a large part of the Netherlands. Since 2015, we have also been internationally active in Belgium, Denmark, Germany and Italy. DentConnect takes over independent dental practices and complete patient files for subsequent management and development. We are now the largest player in the European market, with over 150 practices in the Netherlands alone. For these practices DentConnect acts as a versatile service organization.  From our Shared Service Center in Oosterhout (NB) you will be part of the SUP team Recruitment and you work together with the broad Human Resource Team (20 colleagues), other employees in the Shared Service Center, the practices, laboratories and external stakeholders.  What are you going to do?  You take ownership of building and maintaining different talent pools. Based on the profiles provided by the business, you map out the recruitment needs so that you can get started with your sourcing strategy. It is important that you know the ins and outs of the vacancy and the company. You look online for interesting candidates for various roles, then you approach these candidates and make them enthusiastic for the position. Do the candidates meet the recruitment needs according to you? Then introduce them to the recruiter of the relevant region!  In addition to this, you are responsible for helping streamline processes and support the recruitment department with administrative tasks. You also spend a large part of your time managing the relationships within the various recruitment agencies that we work with. You maintain contacts, keep the relationship warm, discuss vacancies and urgency and assess candidates for suitability within our organization and where you will propose them.  Responsibilities?  You search for and approach suitable candidates through various channels. You interview the candidates (by telephone) after which you select suitable candidates  You introduce new candidates to the business, facilitate the application process and monitor progress and quality from start to finish  You are a relationship manager both internally and externally with (recruitment and selection agencies  You support the team administratively and support the organization of events  You are responsible for supporting the team where necessary  What do we offer?  Salary tied to your knowledge and skills  Telephone allowance + laptop  25 vacation days  Pension scheme at Allianz  Concrete career opportunities within the organization  What are we looking for?  HBO working and thinking level  Some recruitment experience is a big plus  You enjoy searching online and are familiar with various search methods and tools  You are communicative, analytical and also organization (administrative) strong  You are creative and know how to bind people to you  You are also result-oriented and like to keep going  Will you be our new colleague?  Apply via the application button. For questions, comments or direct contact, call or email Fenn Artz (Corporate Recruiter) on 0611952546 or f.artz@dentconnect.eu ",-1.0,DentConnect,Oosterhout,-1,1001 to 5000 Employees,2007,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
159,159,Driver ,-1,"Want to get paid to ride around your city? Looking for a stable Driver job with hourly pay and real insurance? Then it's time to set off with Thuisbezorgd.nl.  Out on the road As our English Driver, you deliver delicious dishes across your city - collecting them from the restaurant and bringing them to our food-loving customers. We offer the possibility to work parttime and on the weekend and it's as fun and easy as it sounds! We'll make your life easier, by: Providing your equipment Helping you track deliveries while driving around the city  Our Driver is: At least 16 years old Super service-oriented and delivers with a smile In the possession of a smartphone (with 4G!) For navigation. Following the traffic rules. Available on one weekday evening and one weekend evening  Here is our offer There are plenty of perks when you join Thuisbezorgd.nl. You'll enjoy: Hourly pay and a proper employment contract Real insurance… we've got you covered Some flexibility in your working hours. Add your shifts on our app every week Support from the team whenever you need it The chance to keep fit while getting paid  Attractive pay of € 9.86 per hour, after 2 months € 10 per hour (from 21 years) Set off your delivery career as a Courier with Thuisbezorgd.nl in Delft. Click Apply Now. ",4.1,"Thuisbezorgd.nl
4.1",Delft,-1,1001 to 5000 Employees,2000,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
160,160,Content Acquisition Manager BENELUX ,-1,"Are you interested in helping shape the future of movies and television? Do you want to support the definition of the next generation of how and what Amazon customers are watching?  Prime Video is a premium streaming service that offers customers a vast collection of TV shows and movies - all with the ease of finding what they love to watch in one place. We offer customers thousands of popular movies and TV shows including Originals and Exclusive content. We also offer our members the opportunity to subscribe to add-on channels which they can cancel at anytime and to rent or buy new release movies and TV box sets on the Prime Video Store. Prime Video is a fast-paced, growth business - available in over 240 countries and territories worldwide. The team works in a dynamic environment where innovating on behalf of our customers is at the heart of everything we do. If this sounds exciting to you, please read on.  As a Content Acquisition Manager within Prime Video Benelux team, you love films and TV, and make it your mission to identify the best possible content to attract, engage and retain our customers. You know that you will have to apply your deep analytical skills to make the case for a given acquisition, both qualitatively (the what and where and from who) and quantitatively (the how and when); You will work hand in hand with the Head of Content in Germany to assess the efficacy of your past recommendations, to inform future acquisition recommendations and feed into the larger vision we create as a team. You are not afraid to Dive Deep as you uncover data points to prove or disprove your hypothesis, employing Excel and SQL as if they were natural extensions of you. Furthermore, you are a person that likes to roll up their sleeves and proactively resolves problems.  Your communication skills convince through the clarity of your written argument, having considered alternatives and possible counter arguments. You do not wait for someone to tell you to take ownership; in fact, you do not hesitate to share your proven approach and findings beyond the scope of your role, with peers across the business and even across territories. And, most importantly, you know how to prioritize and manage expectations with internal clients and external vendors.  Responsibilities: Oversee key areas of the Benelux content catalog within Prime Video, contributing to our forward-looking content strategy, budgetary considerations and consequently, recommending content for acquisition Understanding the acquisition process, sourcing, evaluating and launching film and TV to reach Prime Videos goals Oversee all aspects of the content acquisition process, including building analytical models to show value from titles, analyzing results to drive improvements and collaboration with internal teams on processes to manage content and contracts internally (marketing, public relations, finance, accounting, operations, publishing etc.) Maintain a can-do attitude and a willingness and flexibility to solve problems at short notice, using any tools necessary    Basic Qualifications  Experience in an account management, licensing or business development role Experience using Tableau and Excel Ability to translate business problems into analytical tasks and communicate results back to a business audience Ability to dive into data and identify useful patterns to solve problems Ability to use and modify data tables, access SQL queries and export data Some level of experience with database programs / tables and CRM systems  Preferred Qualifications  Good interpersonal skills and client facing attitude Experience with SQL authoring and data manipulation Experience negotiating large-scale contracts Experience licensing third-party media content Amazon is an equal opportunities employer. We passionately believe that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify, and build.  Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Consult our Privacy Notice to know more about how we collect, use, and transfer the personal data of our candidates. ",3.9,"Amazon
3.9",Amsterdam,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
161,161,Senior Project Manager Workspace Services ,-1,"The Senior Project Manager is responsible for the governance and project management of initiatives within the Real Estate & Workspace Services Department (REWS). The Senior Project Manager role will partner with the various teams within REWS Department to support, and proactively work with them, to facilitate the work occurring between them and the business units and centralized functions. They will help the teams to scope and plan the projects by helping to document the project goal, KPIs, roadmap and main deliverables. The Senior Project Manager will be responsible to lead all regular Workspace projects but also projects in order to ensure a smooth transition to the Booking Campus that will open in 2022. The Senior Project manager will work closely with the Transition manager Campus. To do this the Senior Project manager is experienced in leading Workspace Services projects and has extended knowledge of the Real estate and workplace environment on subjects like, Smart Building, Workplace design, Hybrid way of working, Hospitality, Security, Food concepts etc ...  The Senior Project Manager will ensure that the projects of REWS Department teams are managed in a consistent manner, whilst working with the business units & central functions within Booking.com to build engagement and where needed governance over decisions needed for work to be signed off. In some cases, the role requires dealing with external vendors and managing external stakeholders.  The Senior Project Manager will also help the different teams to mitigate the project risks and dependencies to make sure there is progress towards the project's milestones.  First and foremost, the Senior Project Manager will ensure the team's roadmaps / plans focus on agreed business priorities, dependencies and strategies designed based on data and business needs, and delivers against the shared objectives & goals.  B. Responsible Apply structured methodology to and lead project / change management activities Own the successful delivery of the end-to-end project lifecycle Lead independently low / medium complexity projects with global impact (cross-functional) driving them through execution, analysis, recommendation and implementation Apply change management processes and tools to create a strategy to support adoption of the changes required by a project or initiative. Engage and influence stakeholders at all levels inside and if required outside of the organization: work collaboratively with business unit partners and corporate support teams to drive enterprise strategy execution and partner on segment or functional strategy projects Communication of the project insights and recommendations across all stakeholders With limited supervision, identify, define and scope the opportunities. Driving the Project scoping and Planning by helping to document the project goal, KPIs, roadmap and main deliverables. Track and report progress; Creates clear planning documents together with involved departments Ensure a project closing and correct handover to Business as usual. Ability to work and productively interact with different stakeholders up to Director level B.Skilled 8+ years of experience in project management within Real Estate & Workspace Services Stakeholder engagement with focus on implementation of initiatives. Strong connection with Booking.com culture and international environment Track record of previous experience in facility management projects, SMART building, desk sharing, etc. Ability to influence up to Director level and productively interact with Sr. Director level Extensive knowledge of Workspace Services (facilities) and Real Estate Fluent in English and Dutch. ",3.8,"Booking.com
3.8",Amsterdam,-1,10000+ Employees,1996,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
162,162,Driver C location Etten-Leur ,-1,"As a Fat Buyer Driver, you drive your truck in the morning from our new depot in Etten-Leur to various customers to collect and / or purchase used deep-frying fat. Every week you visit customers on their own fixed route with different addresses. In addition to loading and unloading the truck, maintaining the customer relationship is an important part of the job. The target? Collecting as much used cooking oil as possible. At the end of the day, you unload the car at the depot, where everything is traceable and processed into new valuable innovative products such as bio-diesel. In addition, you ensure that the depot is properly cleaned and maintained in accordance with guidelines.  Before you start working with us, your driving skills will be tested and you will come along for a day to see what the work entails. If you have gone through everything and it clicks from both sides, then nothing stands in the way of a nice job in the innovative world of sustainable energy.  The organisation: Rotie is the market leader in the collection and processing of used cooking oil and fat in the Netherlands. This makes us an important link between the catering industry and biodiesel products in Europe. Rotie is one of the largest suppliers of 2nd generation raw materials, thus contributing to a more sustainable world.  Rotie is part of the ambitious Quatra, a leader in Western Europe and based in Belgium. With Quatra International, we, with over 270 employees, focus on the collection and processing of used cooking oil and fat, which makes us the market leader in Western Europe. We are proud of our work and our employees. We have a passion for our business, are innovative and enterprising and our customers can expect a fast and high-quality service from us.  We are looking for drivers who: Flexible handling of working hours; Be in possession of a C driving license with code 95; Be in possession of a digital driver card; Have a good command of the Dutch language in connection with safety; Being socially skilled; In possession of a VOG statement or can apply for one; Reside within a radius of 30 km from Etten-Leur.  As a good employer, we offer you a career with: An excellent salary, attractive pension scheme and various training options; Enthusiastic colleagues and a well-functioning fleet; A full-time job with a permanent contract; An independent and responsible position within a sustainable and successful company.  Do you recognize yourself in the profile described above? Then we are looking for you! Send your resume via the application link and you will receive a response within 24 hours. The sooner your response is received, the more pleasant we find it. In your motivation letter we would like to read additional information about the period during which you can be available. Do you have vacation plans… let us know.  Information: For more information about the position, please contact Annemiek Goossens from our HR & Recruitment department. Annemiek can be reached on telephone number: 020 - 21 929 31.  Information about the application procedure during the Corona crisis: It goes without saying that we follow the guidelines and advice of the RIVM and this may have some consequences for the application procedure.  Acquisition in response to this vacancy is not appreciated. ",4.0,"Rotie
4.0",Etten-Leur,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
163,163,Driver weekend ,-1,"Want to get paid to ride around your city? Looking for a stable Driver weekend job with hourly pay and real insurance? Then it's time to set off with Thuisbezorgd.nl.  Out on the road As our English Driver weekend, you deliver delicious dishes across your city - collecting them from the restaurant and bringing them to our food-loving customers. We offer the possibility to work parttime and on the weekend and it's as fun and easy as it sounds! We'll make your life easier, by: Providing your equipment Helping you track deliveries while driving around the city  Our Courier is: At least 16 years old Super service-oriented and delivers with a smile In the possession of a smartphone (with 4G!) For navigation. Following the traffic rules. Available on one weekday evening and one weekend evening  Here is our offer There are plenty of perks when you join Thuisbezorgd.nl. You'll enjoy: Hourly pay and a proper employment contract Real insurance… we've got you covered Some flexibility in your working hours. Add your shifts on our app every week Support from the team whenever you need it The chance to keep fit while getting paid  Attractive pay of € 9.86 per hour, after 2 months € 10 per hour (from 21 years) Set off your delivery career as a Delivery Driver with Thuisbezorgd.nl in Alkmaar. Click Apply Now. ",4.1,"Thuisbezorgd.nl
4.1",Alkmaar,-1,1001 to 5000 Employees,2000,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
164,164,TIG Welder ,-1,"What are you going to do? Are you the TIG-Welder who can blindly assemble different constructions from drawing and do you dare to take on a challenge? Then this vacancy is for you! The organization is a reliable and customer-oriented organization in metal technology for the manufacture of products in stainless steel and aluminum. The organization manufactures products for both business and private customers and strives for high quality and pleasant cooperation. As a TIG Welder you will be engaged in welding various products such as: stainless steel tanks, welding constructions, stainless steel waste bins, stainless steel piping, process tanks, but also aluminum installations (to a lesser extent). Do you think you can handle this and do you want to improve your qualities in the field of TIG welding? Apply immediately! Assembly and welding of the structures by means of TIG; Perform welding from drawing; Building constructions from drawings; Guaranteeing the quality of the product by carrying out interim measurements and checks. What do you need? Do you see yourself as the TIG welder we are looking for? Do you want to broaden your knowledge? And do you meet the job requirements below? Then apply immediately! At least a completed MBO 2 education in metal engineering; At least 2 years of relevant work experience as a TIG welder on stainless steel and aluminum; Minimum TIG level 2 diploma (level 3 is a big advantage); You can work independently as well as in a team; Willingness to work in the workplace; Safety is of paramount importance; You can read technical drawings; Driving license and own transport is an advantage. You get: In addition to the challenging position as a TIG Welder, we offer a position with a lot of variety of activities, career opportunities, training opportunities and development opportunities. An excellent salary between € 2400 between € 3000 (depending on your experience); Both internal and external training opportunities; Full travel allowance of € 0.19 per kilometer commuting; Possibility of permanent employment; Informal and collegial contact in the company; A generous pension scheme; A job where you can definitely find a challenge; A generous holiday arrangement; There is a shift work allowance; There are good parking facilities; Much attention to your personal development. ",5.0,"VNOM
5.0",Woerden,-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
165,165,Online Marketing Manager ,-1,"Lightexpert is an internationally growing webshop and part of a growing e-commerce company. We are immediately looking for an online marketing manager who knows from our own experience how we can get the most out of our web shops and marketplaces. You will also transfer your knowledge to shop managers of the various web shops and you will actively participate in the online projects. Which activities and tasks are mainly discussed? You are responsible for the growth of our international shops, where you can set priorities and work towards objectives. You manage the Google Ads and SEO campaigns You manage and optimize our Marketplaces What we offer An attractive salary based on of experience: A full-time job in a growing e-commerce company A varied and challenging job; Travel allowance; What we ask: At least a college diploma; At least 2 years of Experience in Online Marketing You have knowledge of Google Ads, Google Analytics and SEO At least 1 year of experience with Marketplaces like Amazon Languages: Dutch is a must, German is an advantage! Would you like to know more about our company and the possibilities? Please do not hesitate to contact us! Type of employment: Full-time Work schedule: Mon-Fri Experience: Online marketing: 2 years (Recommended) Education: Bachelor (Recommended) Working from home: YES_OCCASIONALLY ",-1.0,Lightexpert,Eindhoven,-1,-1,-1,-1,-1,-1,-1,-1
166,166,Project Manager ,-1,"Project Manager Have you completed a technical education and are you looking for a fun and challenging job? Then come and work with us, Xtenders we build innovative custom boats! Xtenders is a fast-growing builder of carbon tenders (speedboats) for superyachts. We design and produce unique products that distinguish themselves from the competitors in our market segment. We want to expand our team through a growing number of projects. As a project Manager you are a link between design and production. You work in an informal atmosphere with nice colleagues at our office in Almere. Activities: Responsible for project process from A to Z for the construction of the boat Customer contact about specifications, agreements, costs & change orders, project progress Ensure that the concept design is developed into production drawings Monitor project budget in collaboration with our accountant Create and maintain general project planning. Coordinate these with other projects with production manager and other project managers Provide official documents for boat delivery & CE inspection Communication external parties (suppliers of, among other things, cushions, teak, carbon, external engineering, etc.) - placing orders + global planning Development of standardization / process improvement . Management and planning Design Engineers and Technical draughtsmen (together with other project manager) Who are you? You are proactive, stress resistant, you are hands on and accurate. You take initiative, you are independent and you are creative with solutions. You can communicate well at all levels, from workshop to management. You have successfully completed a higher professional education in a technical education. You can keep a good overview, plan ahead and set priorities. You are good at Solidworks. Good command of Dutch and English, both verbally and in writing. What do we offer? Working week of 40 hours Plenty of growth and development opportunities Function starts immediately Young and dynamic company A nice lunch and good coffee Lots of fun activities around work! View our products and find more information on our websites: www.xtenders.com & www.xquip.com Type of employment: Full-time Education: HBO (Required) Language: Netherlands (Required) ",-1.0,Xtenders/ Xquip,Almere,-1,-1,-1,-1,-1,-1,-1,-1
167,167,Allround stainless steel construction fitter / welder ,-1,"What are you going to do? Are you a passionate Allround Stainless Steel Construction fitter and do you want to work at a growing dynamic company? It is an international company in the yachting, engineering, machine building and food industry. Where there is a lot of opportunity in terms of career opportunities. Do you have years of experience in metal technology with assembling, processing and welding by means of TIG and MIG? Then read on quickly! You will independently work on sheet metal and construction work and stainless steel machine construction on the basis of work orders and technical drawings. Are you excited yet? Then read on! Performing welding and assembly work by means of TIG and MIG on mainly stainless steel and other metal processing; Independently manufacture (industrial) products on the basis of working drawings; Guaranteeing the quality of the products by carrying out (interim) measurements and checks. What do you need? Do you meet the job requirements below? Then apply immediately! MBO work and thinking level; At least 3-5 years of relevant work experience as a construction fitter / welder of stainless steel constructions; You can read technical drawings; You are accurate and quality oriented; Being able to operate well within a dynamic environment, both independently and in a team; Experience with TIG and MIG welding; Experience with CNC sheet metal working machines is an advantage. You get: A salary between € 2,500 and € 3,300 gross per month (depending on your work experience); Together we make a personal development plan where your development is central. You choose which way you go; Full travel allowance of € 0.19 per kilometer commuting; Possibility of permanent employment; Car, laptop and telephone are possible; Informal and collegial interaction within the organization; You have a wide variety of tasks; A job where you can definitely find a challenge; Both internal and external training opportunities; A generous pension scheme; Good secondary conditions; Career opportunities in terms of both job and salary; Much attention to your personal development. ",5.0,"VNOM
5.0",Nieuwegein,-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
168,168,Courier ,-1,"Do you want to get paid to drive around your city? And are you looking for a stable job or part-time job as a courier with a fixed hourly wage and insurance? Then it's time to apply for a job at Thuisbezorgd.nl! On the way As our bicycle courier you deliver delicious dishes to your city - you pick them up at the restaurant and take them to our hungry customers. We offer the option to work part time and on weekends and it's as fun and easy as it sounds! Start your round relaxed from home on your own bike. We make your life easier by: Provide you with the necessary equipment Guide you with our app while you drive through town   Our Courier: Is at least 16 years old. Is super service-oriented and delivers with a smile. Has a smartphone (with 4G!) For navigation. Keeps to the traffic rules. Available on one weekday evening and one evening on the weekend. Our offer There are plenty of benefits when you work at Thuisbezorgd.nl: A fixed hourly wage - So you will continue to be paid while waiting. Employment contract and insurance. Some flexibility in your working hours. Schedule your hours yourself every week via our app. Support from the team when you need it. The chance to work outside and get to know your city like the back of your hand  And a nice salary of € 9.86 p.h, after 2 months € 10 p.h. (from 21 years) Start as a Delivery Driver at Thuisbezorgd.nl in Zwolle. Apply Now! ",4.1,"Thuisbezorgd.nl
4.1",Zwolle,-1,1001 to 5000 Employees,2000,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
169,169,Truck driver afternoon / evening ,-1,"Are you looking for predictable driver work in the late afternoon shifts? We are looking for truck drivers at DHL The Hague! Read on quick.  You will do this as a driver Working as a CE driver at DHL means a job with an excellent work-life balance. You work in a schedule that you receive at least 2 weeks in advance with a fixed route every week. You start in the afternoon between 12:00 and 14:00 and after 10 to 20 addresses you will be back at the terminal between 10:00 pm and 11:30 pm. At our customers, you load pallets using an electric pallet truck. As an afternoon / evening driver at DHL you work from Monday to Friday, approximately 45 hours a week.  As a CE driver at DHL you can count on: With the right experience: gross monthly salary up to € 2,426 for 40 hours excluding allowances; Surcharges for working in the evening (112.5% ​​after 6 p.m. and 125% from 8 p.m.). This increases your salary further; Free optional part of 2.16% of the wage bill, which you can optionally use for extra vacation days or a monthly allowance; Payment of your overtime with a 30% allowance, calculated per week; Pension accrual and a travel allowance. In addition, you will receive code95 refresher courses and DHL clothing, so that you come up competent and just for the day; A genuinely collegial working atmosphere with a contract directly with the international market leader in pallet transport. You will be properly trained and in case of mutual satisfaction we will reward you with a permanent appointment!  What do you bring Of course you are in possession of a CE driving license with code 95 and driver card. As an all-round truck driver you are flexible, customer-oriented and you have a good command of the Dutch language. Because you spend many hours on the road, we think it is important that your travel time to the terminal is no longer than 45 minutes.  Do you send us an application? I will contact you after receiving your message. You will then hear whether you are invited for a first meeting on location. A ride-along day is standard in our application procedure. Do you want to ask questions first? Of course you can. Call, whatsapp or email Niels van Laar (Recruiter) on 0683057550 or niels.van.laar@dhl.com ",3.8,"DHL
3.8",The Hague,-1,10000+ Employees,1969,Subsidiary or Business Segment,Express Delivery Services,Transportation & Logistics,$10+ billion (USD),-1
170,170,HR Employee ,-1,"Job description We are looking for an HR employee for our client. It concerns an executive position with administrative tasks. You are responsible for checking absenteeism and coordinate this with the absenteeism service.  You also take care of the inventory of the needs, registration and follow-up of the participation in training courses for employees.  You are also responsible for a correct salary every month. You ensure that you receive the correct hours and any changes from all branches, and that the payslips are all in order. There are 200 colleagues working across all branches. Job requirements For this vacancy it is important that you have some relevant work experience in a similar position. Even more important is that you work meticulously and ensure that everything is properly arranged for employees in the field of HR. Knowledge of Exact is a great advantage. Our client Our client is part of a large Dutch hotel chain. Terms of employment A salary is offered between € 2,500 and € 2,700 on a full-time basis. You will work in a nice working environment with pleasant colleagues. Apply Are you interested in this great vacancy for HR employee? Do you have experience in a similar position and would you like to work at a nice, young national hotel chain? Then we would like to receive your application. You can apply via the application button on our website www.mansrecruitment.nl or send an email to floor@mansrecruitment.nl ",-1.0,MANS recruitment,Bunnik,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
171,171,Online Sales specialist ,-1,"Vacancy Online Sales specialist Would you like to work at one of the nicest car companies in the Netherlands where performance and fun go hand in hand? Do you want to work at a car company where there is room for personal development? Are you the one who sees online sales as an opportunity and a challenge? Then we are looking for you! The search for a car is increasingly starting online. To serve our online customers better and faster, we are looking for an online sales specialist. As a specialist you know how to convince the customer to come to the showroom online or by telephone. Who are we: Henri & Herman is a company with more than a hundred years of knowledge and experience in the automotive industry. With six branches - in Amersfoort, Bilthoven, Utrecht, Nieuwegein, Doorn and Zeist - Henri & Herman is the largest Opel dealer in the province of Utrecht. We focus on a personal approach, a distinctive way of communicating, proud employees and just want to do it! We believe in an enthusiastic group of employees who are offered the freedom to develop themselves. Tasks of an Online Sales specialist: - Follow-up of incoming leads within the set deadline - Follow-up incoming telephony - Active customer approach with special promotion. The follow-up of online sales and telephony will result in good quality agreements through your efforts. It is important to obtain the correct information in order to optimally prepare the sales advisor for the sales conversation. To fulfill this function we ask: - Minimum MBO working and thinking level - Insight to understand selling prices - Creative minded - Eye for detail - You work independently and can work well together - You have a proactive attitude to work - You are a commercial talent - You think in terms of opportunities, possibilities and solutions - You find it a challenge to grow our volume of sales of new and used cars - Do you have experience in the automotive industry? Then you have an advantage What does Henri & Herman have to offer: - A challenging and varied job; - Excellent working conditions; - Growth opportunities; - If necessary, training courses to ensure that the knowledge level meets the set requirements. Are you interested? Send your resume and motivation Secondary benefits: Retirement Holiday pay Type of employment: Full-time, Indefinite period Working from home: No ",-1.0,Opel dealer Henri & Herman,Utrecht,-1,-1,-1,-1,-1,-1,-1,-1
172,172,Online Sales specialist ,-1,"Vacancy Online Sales specialist Would you like to work at one of the nicest car companies in the Netherlands where performance and fun go hand in hand? Do you want to work at a car company where there is room for personal development? Are you the one who sees online sales as an opportunity and a challenge? Then we are looking for you! The search for a car is increasingly starting online. To serve our online customers better and faster, we are looking for an online sales specialist. As a specialist you know how to convince the customer to come to the showroom online or by telephone. Who are we: Henri & Herman is a company with more than a hundred years of knowledge and experience in the automotive industry. With six branches - in Amersfoort, Bilthoven, Utrecht, Nieuwegein, Doorn and Zeist - Henri & Herman is the largest Opel dealer in the province of Utrecht. We focus on a personal approach, a distinctive way of communicating, proud employees and just want to do it! We believe in an enthusiastic group of employees who are offered the freedom to develop themselves. Tasks of an Online Sales specialist: - Follow-up of incoming leads within the set deadline - Follow-up incoming telephony - Active customer approach with special promotion. The follow-up of online sales and telephony will result in good quality agreements through your efforts. It is important to obtain the correct information in order to optimally prepare the sales advisor for the sales conversation. To fulfill this function we ask: - Minimum MBO working and thinking level - Insight to understand selling prices - Creative minded - Eye for detail - You work independently and can work well together - You have a proactive attitude to work - You are a commercial talent - You think in terms of opportunities, possibilities and solutions - You find it a challenge to grow our volume of sales of new and used cars - Do you have experience in the automotive industry? Then you have an advantage What does Henri & Herman have to offer: - A challenging and varied job; - Excellent working conditions; - Growth opportunities; - If necessary, training courses to ensure that the knowledge level meets the set requirements. Are you interested? Send your resume and motivation Secondary benefits: Retirement Holiday pay Type of employment: Full-time, Indefinite period Working from home: No ",-1.0,Opel dealer Henri & Herman,Utrecht,-1,-1,-1,-1,-1,-1,-1,-1
